             name              | total_languages 
 Nancy J Smith                 |               2
 Nancy Varian Berberick        |               2
 Nancy White Carlstrom         |               2
 Natalie Pope Boyce            |               2
 Nathaniel Hawthorne           |               2
 Nathaniel Philbrick           |               2
 Neale Donald Walsch           |               2
 Nelson DeMille                |               2
 Nicholson Baker               |               2
 Nick Hornby                   |               2
 Nick ODonohoe                 |               2
 Nick Tosches                  |               2
 Nigel Nicolson                |               2
 Nigella Lawson                |               2
 Nikki Giovanni                |               2
 Noah Gordon                   |               2
 Nora Roberts                  |               2
 Norm Bendell                  |               2
 Norma Goldman                 |               2
 Norman Mailer                 |               2
 Norman Rush                   |               2
 Oh Great                      |               2
 Omar Rayyan                   |               2
 Orhan Pamuk                   |               2
 Oscar Hijuelos                |               2
 Owen ONeill                   |               2
 PG Wodehouse                  |               2
 Pablo Neruda                  |               2
 Paramahansa Yogananda         |               2
 Pat Conroy                    |               2
 Patricia A McKillip           |               2
 Patricia Cornwell             |               2
 Patricia Hampl                |               2
 Patrick Lencioni              |               2
 Paul Bowles                   |               2
 Paul Davies                   |               2
 Paul Johnson                  |               2
 Paul Pitchford                |               2
 Paul Theroux                  |               2
 Paul Woodruff                 |               2
 Paula Danziger                |               2
 Pauline McLynn                |               2
 Paulo Coelho                  |               2
 Pedro Jorge Romero            |               2
 Penelope Fitzgerald           |               2
 Pete Woods                    |               2
 Peter Abrahams                |               2
 Peter David                   |               2
 Peter F Hamilton              |               2
 Peter Hulme                   |               2
 Peter Kreeft                  |               2
 Peter Mayle                   |               2
 Peter Meineck                 |               2
 Peter RL Brown                |               2
 Peter Robinson                |               2
 Peter Singer                  |               2
 Petrina Tinslay               |               2
 Phil Jimenez                  |               2
 Philip Bond                   |               2
 Philip Gabriel                |               2
 Philippa Gregory              |               2
 Pindar                        |               2
 Primo Levi                    |               2
 Quentin Carter                |               2
 Quentin Skinner               |               2
 R Scott Bakker                |               2
 RW Alley                      |               2
 Rachel Ryan                   |               2
 Rainer Funk                   |               2
 Ramsey Campbell               |               2
 Randy Alcorn                  |               2
 Raymond Queneau               |               2
 Rebecca Solnit                |               2
 Ren Descartes                 |               2
 Rex Gibson                    |               2
 Ricardo Piglia                |               2
 Richard  Adams                |               2
 Richard  Hull                 |               2
 Richard A Posner              |               2
 Richard Bachman               |               2
 Richard Bausch                |               2
 Richard Brautigan             |               2
 Richard Dawkins               |               2
 Richard Matheson              |               2
 Richard P Feynman             |               2
 Richard P Martin              |               2
 Richard Paul Russo            |               2
 Richard Pevear                |               2
 Richard Poe                   |               2
 Richard Powers                |               2
 Richard R George              |               2
 Richard Rhodes                |               2
 Richard Russo                 |               2
 Richard Wright                |               2
 Richmond Lattimore            |               2
 Rick Riordan                  |               2
 Rick Warren                   |               2
 Rob Bell                      |               2
 Rob Kidd                      |               2
 Robb Forman Dew               |               2
 Robert A Dahl                 |               2
 Robert A Heinlein             |               2
 Robert Andrew Parker          |               2
 Robert Anton Wilson           |               2
 Robert B Leighton             |               2
 Robert B Parker               |               2
 Robert Baldick                |               2
 Robert Benedetti              |               2
 Robert Coles                  |               2
 Robert D Kaplan               |               2
 Robert Fitzgerald             |               2
 Robert Frost                  |               2
 Robert Graves                 |               2
 Robert Hardy Baker            |               2
 Robert Jordan                 |               2
 Robert L OConnell             |               2
 Robert Ludlum                 |               2
 Robert M Adams                |               2
 Robert M Durling              |               2
 Robert M Pirsig               |               2
 Robert M Sapolsky             |               2
 Robert Mayhew                 |               2
 Robert McCloskey              |               2
 Robert Nye                    |               2
 Robert S Baker                |               2
 Robert Shapard                |               2
 Robert Silverberg             |               2
 Robert Vavra                  |               2
 Robin Hobb                    |               2
 Robin McKinley                |               2
 Robin P Williams              |               2
 Rodney Stark                  |               2
 Roger Ebert                   |               2
 Roger Hargreaves              |               2
 Roger Pearson                 |               2
 Roger Penrose                 |               2
 Roger Zelazny                 |               2
 Rohinton Mistry               |               2
 Ron McLarty                   |               2
 Ron Roy                       |               2
 Rosemary Edghill              |               2
 Rosemary Wells                |               2
 Rudyard Kipling               |               2
 Rumer Godden                  |               2
 Russell Hoban                 |               2
 SD Schindler                  |               2
 SE Hinton                     |               2
 SM Stirling                   |               2
 Salman Rushdie                |               2
 Salvatore Murdocca            |               2
 Samuel Beckett                |               2
 Sandra Boynton                |               2
 Sarah Johnstone               |               2
 Sarah Mlynowski               |               2
 Sarah Shankman                |               2
 Satoru Kannagi                |               2
 Saul Bellow                   |               2
 Scott ODell                   |               2
 Seamus Deane                  |               2
 Sean Phillips                 |               2
 Sebastian Faulks              |               2
 Shaun Whiteside               |               2
 Shayla Black                  |               2
